xdatetime,100_target_revenue,101_choolha,102_monthly_sales_total,103_accounts_receivable,104_expected_maintenance,105_cost_electricity,106_target_production,107_daily_shipment_kg,108_avg_daily_yield,109_special_grade_ratio,110_defect_rate,111_contract_id,112_vendor_id,113_contract_crop_code,114_contract_req_grade,115_contract_due_date,116_contract_volume_ton,117_fulfilled_volume_ton,118_fulfillment_rate,119_projected_yield_ton,120_delay_risk_status,121_shipment_id,122_allocated_volume_kg,123_market_price_kg,124_inventory_code,125_inbound_material,126_lot_number,127_inbound_unit_price,128_produce_in_stock_ton,129_stock_box,130_stock_nutrient_L,131_storage_location_id,132_outbound_reason,133_adj_qty,134_worker_id
2026-03-13 00:00:00,6000000,0,45000000,12000000,500000,150069,1500.0,0.0,1000.0,15.0,7.5,ORD-202603-013,가락시장_A청과,완숙토마토,일반,2026-03-31,40.0,12.0,30.0,29.5,주의(소과 비중 높음),260313-001,0.0,3500,MAT-BOX-01,토마토 5kg 포장박스,LOT-20260301,800,0.0,5000,1999.9,창고-A동,-,0,admin_tae
2026-03-13 00:01:00,6000000,0,45000000,12000000,500000,150152,1500.0,0.0,1000.0,15.0,7.5,ORD-202603-013,가락시장_A청과,완숙토마토,일반,2026-03-31,40.0,12.0,30.0,29.5,주의(소과 비중 높음),260313-001,0.0,3500,MAT-BOX-01,토마토 5kg 포장박스,LOT-20260301,800,0.0,5000,1999.6,창고-A동,-,0,admin_tae
2026-03-13 00:02:00,6000000,0,45000000,12000000,500000,150237,1500.0,0.0,1000.0,15.0,7.5,ORD-202603-013,가락시장_A청과,완숙토마토,일반,2026-03-31,40.0,12.0,30.0,29.5,주의(소과 비중 높음),260313-001,0.0,3500,MAT-BOX-01,토마토 5kg 포장박스,LOT-20260301,800,0.0,5000,1999.4,창고-A동,-,0,admin_tae
2026-03-13 00:03:00,6000000,0,45000000,12000000,500000,150309,1500.0,0.0,1000.0,15.0,7.5,ORD-202603-013,가락시장_A청과,완숙토마토,일반,2026-03-31,40.0,12.0,30.0,29.5,주의(소과 비중 높음),260313-001,0.0,3500,MAT-BOX-01,토마토 5kg 포장박스,LOT-20260301,800,0.0,5000,1999.3,창고-A동,-,0,admin_tae
2026-03-13 00:04:00,6000000,0,45000000,12000000,500000,150403,1500.0,0.0,1000.0,15.0,7.5,ORD-202603-013,가락시장_A청과,완숙토마토,일반,2026-03-31,40.0,12.0,30.0,29.5,주의(소과 비중 높음),260313-001,0.0,3500,MAT-BOX-01,토마토 5kg 포장박스,LOT-20260301,800,0.0,5000,1999.1,창고-A동,-,0,admin_tae
2026-03-13 00:05:00,6000000,0,45000000,12000000,500000,150462,1500.0,0.0,1000.0,15.0,7.5,ORD-202603-013,가락시장_A청과,완숙토마토,일반,2026-03-31,40.0,12.0,30.0,29.5,주의(소과 비중 높음),260313-001,0.0,3500,MAT-BOX-01,토마토 5kg 포장박스,LOT-20260301,800,0.0,5000,1998.8,창고-A동,-,0,admin_tae
2026-03-13 00:06:00,6000000,0,45000000,12000000,500000,150526,1500.0,0.0,1000.0,15.0,7.5,ORD-202603-013,가락시장_A청과,완숙토마토,일반,2026-03-31,40.0,12.0,30.0,29.5,주의(소과 비중 높음),260313-001,0.0,3500,MAT-BOX-01,토마토 5kg 포장박스,LOT-20260301,800,0.0,5000,1998.5,창고-A동,-,0,admin_tae
2026-03-13 00:07:00,6000000,0,45000000,12000000,500000,150587,1500.0,0.0,1000.0,15.0,7.5,ORD-202603-013,가락시장_A청과,완숙토마토,일반,2026-03-31,40.0,12.0,30.0,29.5,주의(소과 비중 높음),260313-001,0.0,3500,MAT-BOX-01,토마토 5kg 포장박스,LOT-20260301,800,0.0,5000,1998.3,창고-A동,-,0,admin_tae
2026-03-13 00:08:00,6000000,0,45000000,12000000,500000,150649,1500.0,0.0,1000.0,15.0,7.5,ORD-202603-013,가락시장_A청과,완숙토마토,일반,2026-03-31,40.0,12.0,30.0,29.5,주의(소과 비중 높음),260313-001,0.0,3500,MAT-BOX-01,토마토 5kg 포장박스,LOT-20260301,800,0.0,5000,1998.1,창고-A동,-,0,admin_tae
2026-03-13 00:09:00,6000000,0,45000000,12000000,500000,150702,1500.0,0.0,1000.0,15.0,7.5,ORD-202603-013,가락시장_A청과,완숙토마토,일반,2026-03-31,40.0,12.0,30.0,29.5,주의(소과 비중 높음),260313-001,0.0,3500,MAT-BOX-01,토마토 5kg 포장박스,LOT-20260301,800,0.0,5000,1997.9,창고-A동,-,0,admin_tae
